epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.014,1.2379,3.33694,1.16368,0.01194,0.83151,0.42242,0.33228,0.78623,3.06607,0.88858,0.000297589,0.000297589,0.000297589
2,405.014,1.02224,1.49452,1.10412,0.97823,0.8328,0.98187,0.74642,0.69474,1.21857,0.95855,0.00058077,0.00058077,0.00058077
3,528.421,0.85175,1.03188,1.02228,0.97241,0.97463,0.98721,0.77595,0.8275,0.66665,1.00465,0.000843952,0.000843952,0.000843952
4,611.252,0.81434,0.90918,1.01368,0.98645,0.9916,0.98828,0.8429,0.45911,0.53002,0.90692,0.000819009,0.000819009,0.000819009
5,716.635,0.72001,0.78017,0.96082,0.98776,0.99095,0.99143,0.84297,0.47563,0.49032,0.90248,0.000789012,0.000789012,0.000789012
6,799.936,0.64144,0.74637,0.94495,0.98703,1,0.995,0.87726,0.43956,0.46187,0.89306,0.000759015,0.000759015,0.000759015
7,887.667,0.63793,0.70172,0.93392,0.98945,1,0.995,0.88182,0.39746,0.37288,0.90011,0.000729018,0.000729018,0.000729018
8,958.994,0.58404,0.65518,0.92423,0.97759,0.98319,0.98328,0.87302,0.45673,0.41959,0.91316,0.000699021,0.000699021,0.000699021
9,1109.82,0.57445,0.63879,0.91293,0.98371,0.98319,0.989,0.89956,0.40982,0.38484,0.89278,0.000669024,0.000669024,0.000669024
10,1219.48,0.52423,0.58173,0.89224,0.97255,0.98319,0.98056,0.9037,0.40752,0.34967,0.89527,0.000639027,0.000639027,0.000639027
11,1317.81,0.53257,0.58335,0.89789,0.97874,0.9904,0.98602,0.90084,0.34188,0.33872,0.87981,0.00060903,0.00060903,0.00060903
12,1413.97,0.50269,0.54656,0.88648,0.97509,0.96618,0.96733,0.8888,0.34793,0.31442,0.87903,0.000579033,0.000579033,0.000579033
13,1496.25,0.47104,0.52256,0.8781,0.97254,0.98172,0.9842,0.90565,0.41381,0.31403,0.89026,0.000549036,0.000549036,0.000549036
14,1610.83,0.43291,0.49339,0.86071,0.98248,0.9845,0.98658,0.91166,0.364,0.29914,0.88925,0.000519039,0.000519039,0.000519039
15,1678.1,0.43614,0.49063,0.87203,0.97432,0.9916,0.98669,0.9229,0.28586,0.25873,0.87118,0.000489042,0.000489042,0.000489042
16,1744.16,0.4386,0.48663,0.86918,0.97796,0.9916,0.98672,0.91587,0.30831,0.28009,0.87766,0.000459045,0.000459045,0.000459045
17,1790.1,0.43158,0.47708,0.86265,0.97917,0.98441,0.98633,0.9268,0.25689,0.25274,0.86788,0.000429048,0.000429048,0.000429048
18,1825.3,0.43271,0.467,0.87126,0.98239,0.98449,0.98723,0.91524,0.34424,0.28784,0.87899,0.000399051,0.000399051,0.000399051
19,1862.58,0.42345,0.45815,0.86047,0.97656,0.99007,0.98615,0.92596,0.28944,0.25175,0.86486,0.000369054,0.000369054,0.000369054
20,1899.35,0.4027,0.44378,0.86018,0.98292,0.98444,0.98713,0.92665,0.25431,0.23817,0.87066,0.000339057,0.000339057,0.000339057
21,1950.75,0.39157,0.49049,0.84435,0.97885,0.99009,0.98608,0.92422,0.27271,0.26572,0.86958,0.00030906,0.00030906,0.00030906
22,1996.36,0.36579,0.47617,0.84248,0.98033,0.98582,0.98616,0.91862,0.28445,0.24859,0.87592,0.000279063,0.000279063,0.000279063
23,2030.55,0.35275,0.46013,0.83361,0.98959,1,0.995,0.91695,0.33391,0.24644,0.88131,0.000249066,0.000249066,0.000249066
24,2069.38,0.31426,0.43573,0.83302,0.98954,1,0.995,0.91959,0.30939,0.23965,0.86927,0.000219069,0.000219069,0.000219069
25,2103.11,0.31344,0.41749,0.83611,0.98163,0.9916,0.98688,0.92936,0.24956,0.21389,0.8677,0.000189072,0.000189072,0.000189072
26,2137.21,0.30392,0.41,0.81704,0.97956,0.9916,0.98845,0.9315,0.25202,0.23397,0.86563,0.000159075,0.000159075,0.000159075
27,2171.41,0.28614,0.39722,0.82278,0.98063,0.9916,0.98807,0.93097,0.25239,0.22773,0.86412,0.000129078,0.000129078,0.000129078
28,2206.15,0.28776,0.39827,0.81798,0.98128,0.9916,0.98824,0.93274,0.229,0.21483,0.86481,9.9081e-05,9.9081e-05,9.9081e-05
29,2241.57,0.2789,0.38046,0.80955,0.97914,0.99,0.98836,0.93071,0.25438,0.22185,0.86732,6.9084e-05,6.9084e-05,6.9084e-05
30,2275.94,0.26591,0.37815,0.8118,0.98371,0.98466,0.98785,0.92821,0.24909,0.21603,0.86655,3.9087e-05,3.9087e-05,3.9087e-05
